# Time [h]	Acidogenesis_MS [g/h]	Valeric_Degradation [g/h]	Propionic_Degradation [g/h]	hydro_Methanogenesis [g/h]	Acidogenesis_LCFA [g/h]	Butyric_Degradation [g/h]	Acidogenesis_AA [g/h]	aceto_Methanogenesis [g/h]
31.2	2.1314021566591e-36	1.1902714304252e-05	0.00021440942159489	8.8464307186081e-05	5.6457340483245e-07	7.1798716624321e-05	1.94935968649e-61	0.50316331708125
31.48	1.734226294384e-36	3.2076161362735e-06	8.747751138992e-05	3.441029925761e-05	5.2782650100585e-07	2.0325228207964e-05	9.2269901312611e-62	0.50269875306953
31.872	2.6091982281207e-37	5.3684894223466e-07	2.5347838862201e-05	9.5698890691677e-06	4.8066960053168e-07	3.6398351975123e-06	3.3218546411841e-62	0.50235550250633
32	6.9524980013151e-38	2.8594907692792e-07	1.6454268766381e-05	6.17740444351e-06	4.6622624803884e-07	1.9868413062984e-06	2.3400377185302e-62	0.50227813029234
32.2	1.3149393031756e-36	1.1279223363387e-05	0.00020410430548344	8.4063814877847e-05	4.4271377996264e-07	6.7781615706167e-05	1.3557976461057e-62	0.50269814688014
32.48	-1.0176383325284e-36	3.0436947535379e-06	8.3340155885567e-05	3.2723844374861e-05	4.1419599677855e-07	1.9212931776834e-05	6.4240305226708e-63	0.50226853090587
32.872	-5.4463980910428e-37	5.1035981710274e-07	2.4177441988868e-05	9.0976062025189e-06	3.7756176436778e-07	3.4467660315582e-06	2.3157727314029e-63	0.50194365137426
33	-1.9964097027848e-37	2.720223350235e-07	1.5701558447305e-05	5.8675327111324e-06	3.6633264192141e-07	1.882668983815e-06	1.6320850668498e-63	0.50186900269049
33.2	6.4836217642091e-38	1.0362968219772e-05	0.00018841062678531	7.7482435646404e-05	3.4804243873213e-07	6.209550257959e-05	9.4644871420305e-64	0.50221691203096
33.48	3.9145271351631e-36	2.8002097184269e-06	7.6993215303724e-05	3.0187669274542e-05	3.2584347673874e-07	1.7623959559469e-05	4.4891335907064e-64	0.50183075730987
33.872	9.4579635001152e-37	4.7040239435968e-07	2.2362301689671e-05	8.3941143017184e-06	2.9729775115526e-07	3.1673164945173e-06	1.6203845684331e-64	0.50152944714335
