# Time [h]	All Liquid [L/h]	MS [g/L]	AA [g/L]	Butyric [g/L]	Propionic [g/L]	Valeric [g/L]	LCFA [g/L]	Acetic [g/L]
21	-0.0071121079166667	5.3974646847231e-40	1.469695232351e-50	2.1321080252632e-21	9.1831638399964e-20	2.8571435675535e-22	1.6879441358194e-06	0.011016775190768
21.2	0.083179982049154	3.7189681246853e-40	8.4631378547491e-51	2.45441667139e-21	1.0291146596335e-19	3.2754173905133e-22	1.6164820014455e-06	0.011005319485832
21.48	-0.0071103567122396	7.0109905080676e-40	3.9726090940977e-51	2.4482785854006e-21	9.8510051846691e-20	3.2784001829116e-22	1.5255928751493e-06	0.011014174441816
21.872	-0.007115351875	1.0729059634855e-39	1.4124414283593e-51	1.932962379684e-21	8.4192238793643e-20	2.5459152388204e-22	1.4069972821701e-06	0.011022526810178
22	-0.007116583108724	7.6970886219623e-40	9.9045810870582e-52	1.7699985659118e-21	7.9542539025181e-20	2.3168996050041e-22	1.3702650412157e-06	0.011024602059082
22.2	0.079659119138997	1.235016727561e-39	5.7091049011232e-52	1.9745350508853e-21	8.7937287492507e-20	2.575036549372e-22	1.3121974940705e-06	0.011013024987504
22.48	-0.0071141348665365	8.5250004951399e-40	2.6829635654479e-52	1.9174766455385e-21	8.3007228014147e-20	2.514619565257e-22	1.238339341407e-06	0.011020874986372
22.872	-0.0071184968180339	3.9405200729731e-41	9.5530153721601e-53	1.5111742812127e-21	7.0171653060227e-20	1.9582654404599e-22	1.1419791894742e-06	0.011028191928536
23	-0.00711956375	2.3623653079522e-39	6.7023936417772e-53	1.3869850435787e-21	6.6101556183841e-20	1.7890894892063e-22	1.1121362467528e-06	0.011029995345539
23.2	0.065228502001953	2.2308636279324e-39	3.8687868765451e-53	1.4926667294923e-21	7.0218864552789e-20	1.9221951150137e-22	1.06525750805e-06	0.011020469574845
23.48	-0.007117587561849	3.295715234019e-39	1.8203976116512e-53	1.3677019851706e-21	6.4611780124788e-20	1.758371109438e-22	1.0052506843078e-06	0.011027074956068
23.872	-0.0071212593261719	6.4591458089385e-39	6.4907080406439e-54	1.0500093164671e-21	5.3871596785239e-20	1.3306334830478e-22	9.2695984495603e-07	0.01103324067219
24	-0.0071221547688802	3.845059817385e-39	4.5561314938839e-54	9.5493493769066e-22	5.0510951373268e-20	1.2039623960233e-22	9.0271491900563e-07	0.011034764573375
