# Time [h]	All Liquid [L/h]	MS [g/L]	Butyric [g/L]	AA [g/L]	Propionic [g/L]	Valeric [g/L]	LCFA [g/L]	Acetic [g/L]
29.2	9.9191515885417	0.0025924034438415	0.00088419146463992	0.00053655163323376	0.0036335024411675	0.00015255496151154	0.0037715997821514	0.019022328404244
29.48	9.919035022678	0.0025994527338419	0.00088904741493123	0.00053824042106225	0.0036650049539877	0.00015342796096815	0.0036647566123724	0.019025499157333
29.872	9.9190138490668	0.0026025114836761	0.00089304596060666	0.00053915341507341	0.0036955131066645	0.0001541608047618	0.0035304574200231	0.019014874130224
30	9.9190374902344	0.0026020506009932	0.00089374913634526	0.00053914006996656	0.0037025109651503	0.00015429480919746	0.0034898735741837	0.019008095933312
30.2	9.9191032351345	0.0025999924523783	0.00089429118068798	0.00053883300736902	0.0037106883054502	0.0001544068715723	0.0034294845179757	0.018994432631839
30.48	9.9192473304036	0.0025946050364972	0.00089401133220782	0.00053786819763504	0.0037169593650426	0.00015438216440263	0.0033506037100044	0.018969522176677
30.872	9.9195404493273	0.0025827292521981	0.00089182948648849	0.00053559308998059	0.0037167727787545	0.00015403477310348	0.003249982189805	0.018924487040969
31	9.919655679362	0.0025779264350262	0.00089073380894678	0.00053465275019292	0.0037147829020328	0.00015385435795816	0.0032192501533633	0.018907587811097
31.2	9.9198539561632	0.0025695832269534	0.00088866863686077	0.00053300337450336	0.0037098906935759	0.00015351069384732	0.0031732094969172	0.018879164346887
31.48	9.92016425	0.0025563343547772	0.00088512142189568	0.00053035884489125	0.0036997169314347	0.00015291481048899	0.0031124788971144	0.018835612794073
31.872	9.9206559098307	0.0025350908345643	0.00087903147728432	0.0005260804846506	0.0036797657442363	0.00015188404648584	0.0030339429740344	0.018768106813955
32	9.9208285633681	0.0025275832808809	0.00087680436771156	0.00052456147280192	0.003672034840957	0.00015150574117827	0.0030097032986934	0.018744670117875
32.2	9.9211095277778	0.0025153438458806	0.00087310562505876	0.00052207806279979	0.0036588366163257	0.00015087631111985	0.0029731390910372	0.018706780322761
32.48	9.9215226253255	0.0024972606045313	0.00086752402522605	0.00051839784066901	0.0036382878370584	0.00014992443375339	0.0029244151675111	0.018651395081267
32.872	9.9221354088542	0.0024703324631174	0.00085902571139085	0.00051289984311329	0.0036059978897329	0.00014847198265256	0.002860482014937	0.01856983147196
33	9.9223426681858	0.0024612029930092	0.0008561077113125	0.00051103248211359	0.0035947134822846	0.00014797264693841	0.00284052730383	0.018542353680166
33.2	9.9226730399306	0.0024466475424323	0.00085141812287069	0.0005080511647581	0.0035764050644648	0.00014716957485691	0.0028102066548297	0.018498662501854
33.48	9.9231466756727	0.0024257321699097	0.00084461614787639	0.00050376113414945	0.0035495343695239	0.00014600369458086	0.0027693681823692	0.018436125027321
33.872	9.9238290700955	0.002395555183604	0.00083469966077688	0.00049756163927876	0.003509842141007	0.00014430227163604	0.0027149760088631	0.018346258142474
34	9.9240557800564	0.0023855196583148	0.00083138161794303	0.00049549818196819	0.0034964550471777	0.00014373263453154	0.0026978108076943	0.018316443232657
34.2	9.9244134248047	0.0023696925567143	0.00082612547390461	0.00049224109325514	0.0034751533035349	0.00014282992253631	0.0026715450490396	0.018269449935299
34.48	9.9249195064019	0.0023472675379927	0.0008186403403568	0.00048762255898551	0.0034446413122297	0.00014154373699043	0.002635812216925	0.018202950949276
34.872	9.9256372692057	0.0023154488737757	0.00080795877255173	0.00048106348495533	0.0034008059516551	0.00013970725717177	0.0025875800982327	0.018108705441743
35	9.9258733377821	0.00230497916587	0.00080443238854377	0.00047890430929257	0.0033862728893438	0.00013910075704392	0.0025722155302364	0.018077716820637
35.2	9.9262435755208	0.0022885681259148	0.00079888918894677	0.0004755177706765	0.0033633726480719	0.00013814716014887	0.0025485685014153	0.018029128967447
35.48	9.9267634809028	0.002265502947351	0.00079107441749579	0.00047075575796251	0.0033309834961396	0.00013680234176096	0.0025161404206302	0.017960850743132
35.872	9.9274939532335	0.0022330965177457	0.00078005674191776	0.00046406144863053	0.0032851458057633	0.00013490565400403	0.0024719224583778	0.017864914844409
36	9.9277327315538	0.0022225013818681	0.00077644771632153	0.00046187227652499	0.0032700941860441	0.0001342842259572	0.002457741214545	0.017833550010025
36.2	9.9281058601345	0.0022059555092649	0.00077080049318539	0.0004584519217747	0.0032465090865782	0.00013331168755446	0.0024358268161006	0.017784538401189
36.48	9.9286273464627	0.0021828163029422	0.00076288707826136	0.00045366702148908	0.0032133960642425	0.00013194855813355	0.0024056121735601	0.01771597714938
36.872	9.9293556627604	0.002150505061031	0.00075181256641354	0.00044698303249464	0.0031669511181307	0.00013004042731826	0.0023641423667126	0.017620192259509
37	9.9295928064236	0.0021399837849177	0.00074820247199085	0.00044480634212755	0.0031517886685541	0.00012941831832924	0.002350787711515	0.01758899663689
37.2	9.9299625174696	0.0021235920446318	0.00074256972864836	0.0004414138010284	0.0031281112555702	0.00012844753945405	0.0023301011654926	0.017540360884398
37.48	9.9304776026476	0.0021007413124444	0.00073470666111187	0.00043668336755661	0.0030950198991568	0.00012709213422198	0.0023014915836265	0.017472535703047
37.872	9.9311942008464	0.0020689591998077	0.00072375434844587	0.00043010238155283	0.003048864812433	0.00012520386179673	0.0022620860825427	0.017378149649954
38	9.9314269088542	0.0020586375897479	0.0007201952079312	0.00042796505290341	0.003033852547897	0.0001245901706211	0.0022493698745101	0.017347491014312
38.2	9.9317891666667	0.0020425815167259	0.00071465223700029	0.00042463914608626	0.0030104609272862	0.00012363432394358	0.002229649333136	0.017299768286443
38.48	9.9322928177083	0.0020202452627934	0.00070693361179377	0.00042001155185224	0.002977864504731	0.00012230311333601	0.0022023369305088	0.017233359530865
38.872	9.9329916944444	0.0019892595311958	0.00069621548419337	0.00041359085449114	0.0029325640632724	0.00012045431700961	0.0021646616988142	0.017141196723211
39	9.9332182629123	0.0019792142522549	0.00069273956916325	0.00041150933518335	0.0029178651412169	0.00011985470051657	0.0021524943985502	0.017111315805936
39.2	9.9335705768229	0.0019636036261421	0.00068733279967979	0.0004082736441916	0.0028949944568336	0.00011892192850798	0.0021336174392705	0.017064855361552
39.48	9.934059735026	0.0019419168343354	0.00067981608491558	0.00040377792857763	0.0028631848801865	0.00011762499897891	0.0021074619015344	0.017000300596915
39.872	9.9347373114149	0.0019118838646495	0.00066939947802383	0.00039755125032292	0.0028190828467964	0.00011582751243837	0.0020713697120843	0.016910881925398
40	9.9349567172309	0.0019021589568554	0.00066602592817917	0.00039553505844786	0.0028047954288114	0.00011524533795483	0.0020597126500554	0.016881928472912
40.2	9.9352976520182	0.0018870560001532	0.00066078262098263	0.00039240305813109	0.0027825859630763	0.00011434044072769	0.0020416270247982	0.016836945127503
40.48	9.9357705911458	0.0018660934704461	0.00065350100644668	0.0003880554676269	0.0027517349969701	0.00011308364448487	0.0020165691530881	0.016774508563694
40.872	9.9364249244792	0.0018370965891824	0.00064342374371203	0.00038204100450908	0.0027090290694179	0.00011134415290374	0.0019819977879121	0.016688139046268
41	9.936636624783	0.0018277146518178	0.0006401630388496	0.00038009509995887	0.0026952084505882	0.00011078127677251	0.0019708342497213	0.01666019832947
41.2	9.9369654600694	0.001813150398081	0.00063509783433831	0.00037707362996545	0.0026737380107951	0.00010990685207164	0.0019535168000004	0.016616811879726
41.48	9.9374213100043	0.0017929475773707	0.00062806856436455	0.00037288203636862	0.0026439384659831	0.00010869325798722	0.0019295288004258	0.016556635731271
41.872	9.9380515171441	0.0017650225503635	0.00061834915761087	0.00036708785785008	0.0026027306756391	0.00010701507437856	0.0018964451365057	0.016473469478705
42	9.938255304579	0.0017559922719483	0.00061520612739408	0.00036521423899951	0.0025894041502053	0.00010647236610645	0.0018857650382009	0.016446581942025
42.2	9.9385717475043	0.0017419775695238	0.00061032544843486	0.00036230583819306	0.0025687098095624	0.00010562957612839	0.0018692004619814	0.016404846370312
42.48	9.9390102431641	0.0017225445295037	0.0006035554170044	0.00035827270431499	0.0025400031645967	0.00010446044432655	0.0018462612395197	0.016346988834832
42.872	9.9396161588542	0.0016956966236462	0.00059419990056897	0.00035270037401625	0.002500333609355	0.00010284470018027	0.0018146350944894	0.016267076898915
43	9.9398120058594	0.0016870178126407	0.00059117573764936	0.00035089914485622	0.0024875104063844	0.0001023223931851	0.0018044281692506	0.016241252575521
43.2	9.9401160927734	0.0016735506645906	0.00058648073113581	0.00034810360926879	0.0024676030204088	0.00010151147713849	0.0017885999335342	0.016201177413656
43.48	9.9405373401693	0.0016548814068245	0.00057997021338973	0.00034422796430024	0.0024399978361235	0.00010038690931603	0.0017666851673733	0.016145640324631
43.872	9.9411192300347	0.0016290967170666	0.00057097669079023	0.00033887494518252	0.0024018671190297	9.8833347161146e-05	0.0017364798980546	0.016068965288193
44	9.9413072647569	0.0016207636354177	0.00056807028770348	0.00033714502286393	0.002389545000416	9.833127183597e-05	0.0017267335000983	0.016044194161491
44.2	9.9415991824002	0.0016078340560123	0.00056355877565674	0.00033446043722472	0.0023704188359658	9.7551886121505e-05	0.0017116211752151	0.01600575978754
44.48	9.9420035243056	0.0015899126567187	0.00055730389856864	0.00033073918212726	0.0023439029497789	9.6471256401895e-05	0.0016907009100041	0.015952508300298
44.872	9.9425619299045	0.0015651655666797	0.00054866554560349	0.00032560042185508	0.0023072870035104	9.4978753640468e-05	0.0016618720424803	0.015879008703317
45	9.9427423489583	0.0015571691213741	0.00054587437623795	0.00032394000219765	0.0022954566155302	9.4496491125545e-05	0.001652571061433	0.015855267979861
45.2	9.9430224366319	0.001544762324576	0.00054154214074753	0.0003213634177247	0.0022770956941691	9.3747933523803e-05	0.001638150489725	0.015818436312982
45.48	9.9434103348524	0.0015275669615236	0.00053553650747992	0.00031779218141998	0.0022516442399848	9.2710171926681e-05	0.0016181898615777	0.01576741259027
45.872	9.9439459800347	0.0015038250206775	0.00052724354209807	0.0003128611496662	0.0022165040541783	9.1277084695617e-05	0.0015906867682439	0.015696999782123
46	9.9441190247396	0.0014961541937021	0.00052456423891209	0.000311268011183	0.002205151777984	9.0814067651689e-05	0.0015818142769808	0.015674258882104
46.2	9.9443876500651	0.0014842526709486	0.00052040586261172	0.00030879588770084	0.0021875340265213	9.00954240802e-05	0.0015680586580035	0.015638980695263
46.48	9.9447596744792	0.0014677582427548	0.00051464161324914	0.00030536958455259	0.0021631146735868	8.9099201785104e-05	0.001549019506348	0.01559011321852
46.872	9.9452733532986	0.0014449853306178	0.00050668257893214	0.00030063894671402	0.0021294026342316	8.7723589179969e-05	0.0015227877201511	0.015522682749705
