# Time [h]	All Liquid [L/h]	MS [g/L]	AA [g/L]	Butyric [g/L]	Propionic [g/L]	LCFA [g/L]	Valeric [g/L]	Acetic [g/L]
31.872	9.9945380209674	1.2240082154945e-08	2.3389949296305e-07	1.6175429269599e-06	2.2507274500545e-05	0.00161599715467	3.8653186417503e-07	0.0086555860513694
32	9.9945418553273	1.221671742987e-08	2.3331348723828e-07	1.614385180719e-06	2.2491092660678e-05	0.0015939770586387	3.8574436941442e-07	0.0086491105353796
32.2	9.9945487104518	1.2187293096958e-08	2.3251167306868e-07	1.6096005342829e-06	2.2458534400274e-05	0.0015614423934152	3.845397394085e-07	0.0086394573309901
32.48	9.9945569695368	1.2071342562726e-08	2.3131964809933e-07	1.6026511149003e-06	2.2400970228204e-05	0.0015194424547282	3.8283177296625e-07	0.0086268141721136
32.872	9.9945671639425	1.191553314038e-08	2.2888818719082e-07	1.5886842969127e-06	2.2270032002903e-05	0.0014666811264932	3.7947022605468e-07	0.0086103210242571
33	9.9945702399483	1.1887577117391e-08	2.2808191031254e-07	1.5836968982416e-06	2.22181505565e-05	0.0014507357456483	3.7826004434334e-07	0.0086052090587409
33.2	9.9945762294431	1.1855308356789e-08	2.269981219932e-07	1.5763777044213e-06	2.2133754891031e-05	0.0014269537006982	3.7646470814295e-07	0.0085975045067681
33.48	9.9945832878967	1.1723624996418e-08	2.2549376286385e-07	1.566559032813e-06	2.2014110877829e-05	0.0013958539967591	3.7408980186187e-07	0.0085872729279128
33.872	9.9945919670581	1.1546825141451e-08	2.2260671735549e-07	1.5488331590807e-06	2.180746666099e-05	0.0013560944192531	3.6986396080122e-07	0.0085736050425743
34	9.9945945924568	1.1515951399397e-08	2.2166419845141e-07	1.5427038592236e-06	2.1732982355804e-05	0.0013439246002079	3.6839006968318e-07	0.0085693028799975
34.2	9.9946000559238	1.148178141576e-08	2.2040608154125e-07	1.5338090932122e-06	2.1615986442539e-05	0.0013256216754497	3.6622790408445e-07	0.0085627676270036
34.48	9.9946063750529	1.1341359824224e-08	2.1871251145797e-07	1.5222268384779e-06	2.1457662052576e-05	0.0013014087498469	3.6344327757378e-07	0.0085540042410891
34.872	9.9946141069949	1.1153181803328e-08	2.1556465643359e-07	1.5022814187404e-06	2.1204998182902e-05	0.0012699488654617	3.5870766757282e-07	0.0085420917557354
35	9.9946164474401	1.112075747603e-08	2.1454588365064e-07	1.4954926804877e-06	2.1117022947001e-05	0.0012602031143784	3.5708187703858e-07	0.0085382997452798
35.2	9.9946215584445	1.1085682488272e-08	2.1319088772714e-07	1.485695879504e-06	2.0980759338013e-05	0.0012454291010304	3.5471043313213e-07	0.0085325071062503
35.48	9.9946273873044	1.0941556066671e-08	2.1139702414279e-07	1.4731289383271e-06	2.0799926834835e-05	0.0012256671623101	3.5169770382625e-07	0.0085246860986174
35.872	9.9946344876855	1.0748780319542e-08	2.0812513469e-07	1.4520338478797e-06	2.0521591263055e-05	0.0011995878430941	3.4669932553289e-07	0.0085139199194381
36	9.9946366378365	1.0715830710596e-08	2.0707190012102e-07	1.4449185474988e-06	2.0426333763697e-05	0.0011914155921672	3.4499893110862e-07	0.0085104650703067
36.2	9.9946414927801	1.0680681940612e-08	2.0567419975945e-07	1.4346842390652e-06	2.0279862809632e-05	0.0011789333896078	3.4252703245746e-07	0.0085051663932638
36.48	9.9946469753811	1.0536332981961e-08	2.0384220789832e-07	1.4216697636092e-06	2.0087487148631e-05	0.0011620630083938	3.3941166748979e-07	0.0084979775096735
